Id|Last|First|Street|City|State|Zip|DOB
0|Cobb|Q.|6678 Metus. Rd.|South Burlington|Vermont|1619|1993-02-06
1|Cochran|Y.|9267 Ligula. Avenue|Montpelier|VT|306198|1993-12-16
2|Marks|V.|P.O. Box 399, 1642 Maecenas Av.|Las Vegas|NV|EM4 4JU|1956-12-07
3|Gutierrez|J.|867 Quisque Rd.|Memphis|TN|76-778|1987-11-14
4|Santana|S.|Ap #889-1204 Nulla St.|Baton Rouge|LA|R7 5XA|1978-03-10
5|Workman|I.|P.O. Box 232, 1204 Ipsum St.|Philadelphia|PA|29001|1955-01-08
6|William|M.|Ap #968-832 Sodales St.|Huntsville|Alabama|382782|1979-12-15
7|Spence|K.|Ap #120-7770 Erat. Avenue|Erie|PA|29028-053|1992-04-12
8|Stanton|C.|Ap #909-9361 Egestas St.|Tulsa|Oklahoma|8657|1980-05-20
9|Gordon|V.|539-834 Nulla. St.|Meridian|ID|696903|1996-03-13
10|Livingston|W.|7963 Hendrerit. Street|Nashville|TN|77047|1993-10-07
11|Guzman|C.|378-1814 Dui, Rd.|Jacksonville|Florida|0589|1994-05-21
12|Alexander|W.|Ap #296-9551 Et, Rd.|Lawton|Oklahoma|47519|1986-03-02
13|Peck|Q.|778-9068 Vel Road|Tucson|AZ|26218|1953-07-10
14|Mendez|F.|Ap #843-877 Sem St.|Jonesboro|Arkansas|Z2945|1980-06-06
15|Santos|L.|Ap #269-5328 Metus Rd.|Pocatello|ID|5835|1972-07-07
16|Wallace|P.|765-2031 Ac St.|Fort Smith|AR|08871|1979-03-09
17|Booth|C.|232-4476 Malesuada Ave|Meridian|Idaho|Z6631|1999-07-29
18|Greene|M.|Ap #537-1082 Morbi Street|Jackson|MS|7863|1956-07-05
19|Fletcher|M.|Ap #774-2841 Suspendisse Avenue|Philadelphia|PA|64776|1969-03-10
20|Padilla|O.|P.O. Box 774, 1726 Ipsum St.|Columbia|MO|67255|1989-08-18
21|Wagner|F.|P.O. Box 355, 8269 Est, Ave|Columbus|OH|40500|1952-03-15
22|Clark|S.|2181 Sem, Rd.|Wyoming|WY|S9R 6IU|1987-05-03
23|Gregory|K.|Ap #814-1084 Quam Ave|Hattiesburg|MS|910743|1968-05-11
24|Justice|F.|991-373 Lacus. St.|Vancouver|Washington|Z1757|1958-07-22
25|Cash|A.|2736 Metus. Rd.|Augusta|Georgia|Z8638|1998-07-04
26|Salinas|O.|555-2980 Diam Street|Augusta|Maine|4042|1991-06-17
27|Harrell|K.|P.O. Box 831, 7289 Luctus Road|Anchorage|Alaska|28918|1952-02-11
28|Hines|X.|P.O. Box 841, 8408 Curabitur St.|Lowell|Massachusetts|1043|1970-12-09
29|Anderson|R.|Ap #473-2586 Dolor St.|Butte|MT|55915|1964-07-09
